number,incident_state,made_sla,opened_at,impact,urgency,priority,knowledge,resolved_at,closed_at,vendor,product,country
INC0006574,Awaiting User Info,True,14/3/2016 10:36,2 - Medium,2 - Medium,3 - Moderate,False,16/3/2016 10:48,24/3/2016 19:00,Emerald,Turtle,Ecuador
INC0029102,Closed,True,13/5/2016 08:41,2 - Medium,2 - Medium,3 - Moderate,False,13/5/2016 08:44,18/5/2016 09:07,Emerald,Frog,Denmark
INC0009942,Active,True,22/3/2016 11:11,2 - Medium,2 - Medium,3 - Moderate,False,31/3/2016 14:09,5/4/2016 14:59,Sapphire,Peacock,Peru
INC0012477,Active,True,29/3/2016 11:27,2 - Medium,2 - Medium,3 - Moderate,False,29/3/2016 13:43,3/4/2016 13:59,Sapphire,BlueJay,Japan
INC0005556,Active,True,10/3/2016 16:07,2 - Medium,2 - Medium,3 - Moderate,True,1/4/2016 14:02,6/4/2016 14:59,Ruby,LadyBug,Canada
INC0008431,New,True,17/3/2016 15:55,2 - Medium,2 - Medium,3 - Moderate,False,30/3/2016 14:16,31/3/2016 15:18,Sapphire,BlueJay,Germany
INC0017782,New,True,11/4/2016 15:49,2 - Medium,2 - Medium,3 - Moderate,False,14/4/2016 13:41,19/4/2016 14:07,Sapphire,Glaucus,India
INC0008382,Active,True,17/3/2016 14:43,2 - Medium,2 - Medium,3 - Moderate,False,17/3/2016 15:25,24/3/2016 19:02,Sapphire,Glaucus,Morocco
INC0022828,Closed,True,26/4/2016 14:48,2 - Medium,2 - Medium,3 - Moderate,False,26/4/2016 14:54,1/5/2016 15:07,Ruby,Fox,Mexico
INC0012398,Closed,True,29/3/2016 10:08,2 - Medium,2 - Medium,3 - Moderate,False,31/3/2016 20:24,5/4/2016 20:59,Ruby,Shrimp,Romania
INC0014841,Resolved,True,4/4/2016 11:55,2 - Medium,2 - Medium,3 - Moderate,False,4/4/2016 12:02,23/5/2016 11:07,Sapphire,BlueTang,Croatia
INC0000266,Active,True,29/2/2016 13:18,2 - Medium,2 - Medium,3 - Moderate,True,4/3/2016 16:24,9/3/2016 17:00,Sapphire,Glaucus,Finland
INC0009914,Active,True,22/3/2016 10:44,2 - Medium,2 - Medium,3 - Moderate,False,6/4/2016 10:35,11/4/2016 10:59,Emerald,Croc,Pakistan
INC0020972,Closed,True,19/4/2016 14:35,2 - Medium,2 - Medium,3 - Moderate,False,19/4/2016 14:41,24/4/2016 15:07,Ruby,Ant,Portugal
INC0001142,Active,True,2/3/2016 10:59,2 - Medium,2 - Medium,3 - Moderate,True,13/4/2016 16:41,18/4/2016 16:13,Sapphire,Peacock,New Zealand
INC0020049,New,True,16/4/2016 13:17,2 - Medium,2 - Medium,3 - Moderate,False,20/4/2016 10:54,25/4/2016 11:07,Ruby,LadyBug,Austria
INC0016037,New,True,6/4/2016 14:40,2 - Medium,2 - Medium,3 - Moderate,False,8/4/2016 12:16,13/4/2016 12:59,Emerald,Croc,Vietnam
INC0017997,Active,True,12/4/2016 10:06,2 - Medium,2 - Medium,3 - Moderate,False,13/4/2016 15:45,18/4/2016 16:07,Ruby,Ant,Brazil
INC0000519,Active,True,1/3/2016 08:37,2 - Medium,2 - Medium,3 - Moderate,True,2/3/2016 11:07,7/3/2016 12:00,Ruby,Shrimp,Egypt
INC0016563,New,True,7/4/2016 13:39,2 - Medium,2 - Medium,3 - Moderate,False,7/4/2016 15:12,12/4/2016 15:59,Ruby,LadyBug,United Kingdom
INC0009548,New,True,21/3/2016 14:39,2 - Medium,2 - Medium,3 - Moderate,False,21/3/2016 15:59,26/3/2016 15:59,Ruby,Ant,France
INC0016707,Closed,True,7/4/2016 17:39,2 - Medium,2 - Medium,3 - Moderate,False,7/4/2016 17:51,12/4/2016 17:59,Sapphire,Glaucus,Argentina
INC0017403,Active,True,11/4/2016 08:52,2 - Medium,2 - Medium,3 - Moderate,False,13/4/2016 16:32,18/4/2016 16:13,Ruby,Fox,Indonesia
INC0000257,Closed,True,29/2/2016 12:48,2 - Medium,2 - Medium,3 - Moderate,True,29/2/2016 22:28,5/3/2016 23:00,Emerald,Frog,Canada
INC0014212,Awaiting User Info,True,1/4/2016 15:16,2 - Medium,2 - Medium,3 - Moderate,False,6/4/2016 15:54,11/4/2016 15:59,Emerald,Boa,Ireland
INC0002055,Active,True,3/3/2016 15:43,2 - Medium,2 - Medium,3 - Moderate,True,4/3/2016 14:49,9/3/2016 15:00,Emerald,Frog,Norway
INC0000345,New,True,29/2/2016 15:17,2 - Medium,2 - Medium,3 - Moderate,True,1/3/2016 16:00,6/3/2016 17:00,Emerald,Frog,Japan
INC0007876,Awaiting User Info,True,16/3/2016 15:03,2 - Medium,2 - Medium,3 - Moderate,False,21/3/2016 16:10,26/3/2016 16:59,Emerald,Boa,Turkey
INC0007706,Resolved,True,16/3/2016 11:10,2 - Medium,2 - Medium,3 - Moderate,False,?,24/3/2016 19:01,Ruby,Fox,Sweden
INC0014948,Resolved,True,4/4/2016 14:20,2 - Medium,2 - Medium,3 - Moderate,False,7/4/2016 10:42,12/4/2016 10:59,Emerald,Frog,Turkey
INC0007378,Active,True,15/3/2016 15:25,2 - Medium,2 - Medium,3 - Moderate,False,29/3/2016 08:25,3/4/2016 08:59,Ruby,LadyBug,Philippines
INC0014160,New,True,1/4/2016 14:30,2 - Medium,2 - Medium,3 - Moderate,False,4/4/2016 10:26,4/4/2016 10:45,Ruby,Ant,Israel
INC0023542,New,True,28/4/2016 09:11,2 - Medium,2 - Medium,3 - Moderate,False,6/5/2016 17:17,11/5/2016 18:07,Ruby,Fox,Denmark
INC0016639,Closed,True,7/4/2016 15:29,2 - Medium,2 - Medium,3 - Moderate,False,7/4/2016 17:27,12/4/2016 17:59,Emerald,Frog,Chile
INC0015402,Active,True,5/4/2016 10:43,2 - Medium,2 - Medium,3 - Moderate,False,6/4/2016 14:50,11/4/2016 14:59,Sapphire,Glaucus,Israel
INC0015036,Resolved,True,4/4/2016 16:05,2 - Medium,2 - Medium,3 - Moderate,False,6/4/2016 13:24,11/4/2016 13:59,Sapphire,Glaucus,Egypt
INC0027251,Closed,True,9/5/2016 07:54,2 - Medium,2 - Medium,3 - Moderate,False,9/5/2016 08:38,14/5/2016 09:07,Emerald,Frog,Mexico
INC0015902,Active,True,6/4/2016 11:12,2 - Medium,2 - Medium,3 - Moderate,False,28/4/2016 14:15,3/5/2016 15:07,Ruby,Fox,Denmark
INC0018028,Active,True,12/4/2016 10:28,2 - Medium,2 - Medium,3 - Moderate,False,14/4/2016 12:05,19/4/2016 12:07,Ruby,Fox,New Zealand
INC0014157,Active,True,1/4/2016 14:27,2 - Medium,2 - Medium,3 - Moderate,False,1/11/2016 17:34,6/11/2016 18:00,Sapphire,BlueJay,Kenya
INC0003897,Active,True,8/3/2016 07:51,2 - Medium,2 - Medium,3 - Moderate,True,14/3/2016 15:04,24/3/2016 18:50,Ruby,Fox,Portugal
INC0013968,Active,True,1/4/2016 10:28,2 - Medium,2 - Medium,3 - Moderate,False,4/4/2016 11:43,9/4/2016 11:59,Sapphire,Glaucus,Austria
INC0008616,Awaiting Vendor,True,18/3/2016 09:32,2 - Medium,2 - Medium,3 - Moderate,False,20/10/2016 17:36,25/10/2016 18:00,Sapphire,Glaucus,Netherlands
INC0029023,Closed,True,12/5/2016 21:12,2 - Medium,2 - Medium,3 - Moderate,False,12/5/2016 21:13,17/5/2016 22:07,Ruby,Fox,Australia
INC0003207,Active,True,7/3/2016 10:01,2 - Medium,2 - Medium,3 - Moderate,True,9/3/2016 12:30,24/3/2016 18:40,Sapphire,BlueTang,Austria
INC0008378,New,True,17/3/2016 14:36,2 - Medium,2 - Medium,3 - Moderate,False,18/3/2016 09:58,24/3/2016 19:02,Emerald,Boa,United Kingdom
INC0012712,New,True,29/3/2016 17:10,2 - Medium,2 - Medium,3 - Moderate,False,14/4/2016 14:42,19/4/2016 15:07,Sapphire,BlueJay,Ecuador
INC0002216,Active,True,4/3/2016 02:49,2 - Medium,2 - Medium,3 - Moderate,True,7/3/2016 09:04,24/3/2016 18:40,Emerald,Boa,Sweden
INC0011374,Active,True,25/3/2016 10:15,2 - Medium,2 - Medium,3 - Moderate,False,28/3/2016 23:27,2/4/2016 23:59,Sapphire,Peacock,Greece
INC0001127,Closed,False,2/3/2016 10:39,2 - Medium,2 - Medium,3 - Moderate,True,26/4/2016 14:50,1/5/2016 15:07,Emerald,Croc,Ireland
INC0026304,New,True,5/5/2016 10:54,1 - High,2 - Medium,2 - High,False,6/5/2016 11:59,11/5/2016 12:07,Emerald,Boa,Greece
INC0026185,Closed,True,5/5/2016 09:01,2 - Medium,2 - Medium,3 - Moderate,False,6/5/2016 11:30,11/5/2016 12:07,Emerald,Boa,Israel
INC0008305,Closed,True,17/3/2016 12:26,2 - Medium,2 - Medium,3 - Moderate,False,18/3/2016 12:54,24/3/2016 19:02,Ruby,Ant,Bolivia
INC0007666,Resolved,True,16/3/2016 10:31,2 - Medium,2 - Medium,3 - Moderate,False,16/3/2016 11:19,24/3/2016 19:01,Sapphire,BlueJay,Kenya
INC0005300,Active,True,10/3/2016 10:35,2 - Medium,2 - Medium,3 - Moderate,True,17/3/2016 10:00,24/3/2016 19:00,Ruby,Fox,Spain
INC0013298,Resolved,True,31/3/2016 06:52,2 - Medium,2 - Medium,3 - Moderate,False,31/3/2016 06:54,5/4/2016 06:59,Emerald,Boa,Malaysia
INC0008707,Awaiting User Info,True,18/3/2016 10:56,2 - Medium,2 - Medium,3 - Moderate,False,31/3/2016 10:48,5/4/2016 10:59,Emerald,Turtle,Sweden
INC0022998,Closed,True,27/4/2016 08:23,2 - Medium,2 - Medium,3 - Moderate,False,?,2/5/2016 09:07,Emerald,Frog,China
INC0000197,Active,True,29/2/2016 11:02,2 - Medium,2 - Medium,3 - Moderate,True,31/3/2016 11:13,5/4/2016 11:59,Emerald,Boa,Australia
INC0012944,New,True,30/3/2016 10:18,2 - Medium,2 - Medium,3 - Moderate,False,4/4/2016 11:41,9/4/2016 11:59,Emerald,Croc,Morocco
INC0011562,Resolved,True,27/3/2016 10:14,2 - Medium,2 - Medium,3 - Moderate,False,27/3/2016 11:41,1/4/2016 11:59,Emerald,Boa,Israel
INC0006202,Active,True,11/3/2016 16:46,2 - Medium,2 - Medium,3 - Moderate,False,15/3/2016 16:25,24/3/2016 19:00,Ruby,Ant,Norway
INC0003852,Closed,False,8/3/2016 00:33,2 - Medium,2 - Medium,3 - Moderate,True,8/3/2016 00:55,24/3/2016 18:41,Emerald,Frog,Spain
INC0002915,Active,True,6/3/2016 08:50,2 - Medium,1 - High,2 - High,True,11/3/2016 16:53,24/3/2016 18:50,Ruby,Shrimp,Portugal
INC0008724,Awaiting User Info,True,18/3/2016 11:14,2 - Medium,2 - Medium,3 - Moderate,False,29/3/2016 16:21,3/4/2016 16:59,Ruby,Shrimp,Canada
INC0029111,New,True,13/5/2016 08:49,2 - Medium,2 - Medium,3 - Moderate,False,18/5/2016 14:04,23/5/2016 14:07,Emerald,Boa,United Kingdom
INC0028657,Active,True,12/5/2016 08:54,2 - Medium,2 - Medium,3 - Moderate,False,10/6/2016 10:06,15/6/2016 10:07,Emerald,Boa,Australia
INC0025942,Active,True,4/5/2016 15:10,2 - Medium,2 - Medium,3 - Moderate,False,28/11/2016 09:06,3/12/2016 09:07,Ruby,Ant,Vietnam
INC0000769,Resolved,True,1/3/2016 14:43,2 - Medium,2 - Medium,3 - Moderate,True,4/3/2016 16:47,9/3/2016 17:00,Ruby,Ant,United Kingdom
INC0015363,Active,True,5/4/2016 10:09,2 - Medium,2 - Medium,3 - Moderate,False,5/4/2016 15:19,10/4/2016 15:59,Ruby,Fox,Peru
INC0024638,Closed,True,2/5/2016 08:24,2 - Medium,2 - Medium,3 - Moderate,False,3/5/2016 20:06,3/5/2016 20:06,Emerald,Frog,Denmark
INC0026752,Active,True,6/5/2016 10:07,2 - Medium,2 - Medium,3 - Moderate,False,11/5/2016 15:04,16/5/2016 15:07,Emerald,Turtle,China
INC0013878,Awaiting User Info,True,1/4/2016 09:11,2 - Medium,2 - Medium,3 - Moderate,False,8/4/2016 16:20,13/4/2016 16:59,Sapphire,BlueTang,Austria
INC0024125,Closed,True,29/4/2016 11:25,2 - Medium,2 - Medium,3 - Moderate,False,29/4/2016 11:27,4/5/2016 12:07,Ruby,Fox,Mexico
INC0014630,Resolved,True,4/4/2016 08:54,2 - Medium,2 - Medium,3 - Moderate,False,5/4/2016 14:00,10/4/2016 14:59,Emerald,Frog,Chile
INC0015536,Active,True,5/4/2016 14:19,2 - Medium,2 - Medium,3 - Moderate,False,5/4/2016 14:37,10/4/2016 14:59,Ruby,LadyBug,Singapore
INC0022818,Closed,True,26/4/2016 14:31,2 - Medium,2 - Medium,3 - Moderate,False,26/4/2016 14:38,1/5/2016 15:07,Emerald,Boa,Mexico
INC0028721,Resolved,True,12/5/2016 10:03,2 - Medium,2 - Medium,3 - Moderate,False,12/5/2016 13:15,17/5/2016 14:07,Sapphire,BlueJay,Turkey
INC0019526,Closed,True,15/4/2016 09:38,2 - Medium,2 - Medium,3 - Moderate,False,18/4/2016 08:41,23/4/2016 09:07,Ruby,LadyBug,South Africa
INC0007649,New,True,16/3/2016 10:15,2 - Medium,2 - Medium,3 - Moderate,False,21/3/2016 12:07,26/3/2016 12:59,Ruby,Ant,Hungary
INC0015785,Active,True,6/4/2016 09:04,2 - Medium,2 - Medium,3 - Moderate,False,6/4/2016 16:16,11/4/2016 16:59,Emerald,Turtle,Israel
INC0012781,Active,True,30/3/2016 06:52,2 - Medium,2 - Medium,3 - Moderate,False,30/3/2016 07:44,4/4/2016 07:59,Ruby,LadyBug,Japan
INC0016813,Resolved,True,8/4/2016 08:59,2 - Medium,2 - Medium,3 - Moderate,False,?,13/4/2016 09:59,Sapphire,Glaucus,Greece
INC0011261,Resolved,True,24/3/2016 17:28,2 - Medium,2 - Medium,3 - Moderate,False,28/3/2016 15:31,2/4/2016 15:59,Ruby,LadyBug,Germany
INC0006855,Resolved,True,14/3/2016 15:42,2 - Medium,2 - Medium,3 - Moderate,False,14/3/2016 15:50,23/5/2016 11:07,Sapphire,BlueJay,Romania
INC0009658,New,True,21/3/2016 16:42,2 - Medium,2 - Medium,3 - Moderate,False,4/4/2016 10:38,9/4/2016 10:59,Ruby,Shrimp,Australia
INC0019370,Closed,True,14/4/2016 17:38,2 - Medium,2 - Medium,3 - Moderate,False,15/4/2016 09:36,20/4/2016 10:07,Emerald,Croc,Canada
INC0014246,New,True,1/4/2016 16:06,2 - Medium,2 - Medium,3 - Moderate,False,18/4/2016 15:43,23/4/2016 16:07,Emerald,Croc,South Korea
INC0020725,Resolved,True,19/4/2016 08:34,2 - Medium,2 - Medium,3 - Moderate,False,26/4/2016 14:31,1/5/2016 15:07,Emerald,Croc,South Korea
INC0020191,New,True,18/4/2016 08:59,2 - Medium,2 - Medium,3 - Moderate,False,29/4/2016 14:47,4/5/2016 15:07,Ruby,Ant,Hungary
INC0002694,New,True,4/3/2016 17:03,2 - Medium,2 - Medium,3 - Moderate,True,10/3/2016 07:56,24/3/2016 18:50,Ruby,Shrimp,Romania
INC0007560,Active,True,16/3/2016 08:56,2 - Medium,2 - Medium,3 - Moderate,False,18/8/2016 13:59,23/8/2016 14:00,Sapphire,Peacock,Portugal
INC0015601,New,True,5/4/2016 16:00,2 - Medium,2 - Medium,3 - Moderate,False,6/4/2016 16:09,11/4/2016 16:59,Ruby,LadyBug,Vietnam
INC0024610,Awaiting User Info,True,2/5/2016 07:46,2 - Medium,2 - Medium,3 - Moderate,False,4/5/2016 09:56,9/5/2016 10:07,Sapphire,BlueTang,Egypt
INC0011204,New,True,24/3/2016 15:57,2 - Medium,2 - Medium,3 - Moderate,False,19/4/2016 15:11,24/4/2016 16:07,Sapphire,Glaucus,Germany
INC0012067,Active,True,28/3/2016 14:45,2 - Medium,2 - Medium,3 - Moderate,False,6/5/2016 10:45,11/5/2016 11:07,Emerald,Frog,Philippines
INC0015927,New,True,6/4/2016 11:49,2 - Medium,2 - Medium,3 - Moderate,False,28/6/2016 11:28,3/7/2016 12:00,Emerald,Frog,Ukraine
INC0011698,Resolved,True,28/3/2016 08:58,2 - Medium,2 - Medium,3 - Moderate,False,?,2/4/2016 09:59,Sapphire,Glaucus,Vietnam
INC0027866,Awaiting User Info,True,10/5/2016 11:38,2 - Medium,2 - Medium,3 - Moderate,False,23/6/2016 14:29,28/6/2016 15:00,Sapphire,BlueJay,Chile
INC0018481,Active,True,13/4/2016 09:02,2 - Medium,2 - Medium,3 - Moderate,False,2/9/2016 09:59,7/9/2016 10:00,Emerald,Frog,Turkey
INC0026946,Active,True,6/5/2016 15:17,3 - Low,3 - Low,4 - Low,False,6/5/2016 15:23,11/5/2016 16:07,Sapphire,Peacock,Nigeria
INC0028621,Active,True,12/5/2016 08:08,2 - Medium,2 - Medium,3 - Moderate,False,12/5/2016 15:50,17/5/2016 16:07,Ruby,LadyBug,Argentina
INC0007888,Awaiting User Info,True,16/3/2016 15:10,2 - Medium,2 - Medium,3 - Moderate,False,22/7/2016 11:16,27/7/2016 12:00,Sapphire,Peacock,Egypt
INC0018019,New,True,12/4/2016 10:24,2 - Medium,2 - Medium,3 - Moderate,False,13/4/2016 16:01,18/4/2016 16:07,Ruby,LadyBug,Morocco
INC0002637,Awaiting User Info,True,4/3/2016 16:07,2 - Medium,2 - Medium,3 - Moderate,True,16/3/2016 11:27,24/3/2016 18:59,Sapphire,Peacock,Indonesia
INC0004803,Resolved,True,9/3/2016 11:18,2 - Medium,2 - Medium,3 - Moderate,True,11/4/2016 14:41,11/4/2016 14:55,Emerald,Frog,India
INC0018479,Resolved,True,13/4/2016 08:57,2 - Medium,2 - Medium,3 - Moderate,False,13/4/2016 09:06,18/4/2016 09:07,Sapphire,BlueJay,Ireland
INC0025552,Active,True,3/5/2016 16:44,2 - Medium,2 - Medium,3 - Moderate,False,4/5/2016 08:16,9/5/2016 09:07,Emerald,Boa,Spain
INC0005566,New,True,10/3/2016 16:21,2 - Medium,2 - Medium,3 - Moderate,True,11/3/2016 10:17,24/3/2016 18:51,Emerald,Frog,Ireland
INC0022898,Resolved,True,26/4/2016 16:24,2 - Medium,2 - Medium,3 - Moderate,False,29/4/2016 16:53,4/5/2016 17:07,Sapphire,Peacock,Kenya
INC0013482,Closed,True,31/3/2016 11:36,2 - Medium,2 - Medium,3 - Moderate,False,?,5/4/2016 11:59,Emerald,Turtle,Pakistan
INC0019050,Resolved,True,14/4/2016 10:05,2 - Medium,2 - Medium,3 - Moderate,False,14/4/2016 10:25,19/4/2016 11:07,Ruby,Ant,Bolivia
INC0014760,Closed,True,4/4/2016 10:35,2 - Medium,2 - Medium,3 - Moderate,False,4/4/2016 15:06,9/4/2016 15:59,Ruby,Shrimp,Ecuador
INC0017831,Resolved,True,11/4/2016 17:32,2 - Medium,2 - Medium,3 - Moderate,False,11/4/2016 18:19,16/4/2016 19:07,Emerald,Turtle,Argentina
INC0027301,Closed,True,9/5/2016 08:56,2 - Medium,2 - Medium,3 - Moderate,False,9/5/2016 11:53,14/5/2016 12:07,Sapphire,BlueTang,Argentina
INC0022180,Active,True,25/4/2016 10:07,2 - Medium,2 - Medium,3 - Moderate,False,23/5/2016 17:12,28/5/2016 18:07,Ruby,Shrimp,Ireland
INC0016734,Closed,True,8/4/2016 02:45,2 - Medium,2 - Medium,3 - Moderate,False,8/4/2016 09:38,13/4/2016 09:59,Ruby,Ant,Ecuador
INC0015328,Closed,True,5/4/2016 09:40,2 - Medium,2 - Medium,3 - Moderate,False,7/4/2016 09:35,12/4/2016 09:59,Ruby,Ant,South Korea
INC0025047,Closed,True,2/5/2016 16:06,2 - Medium,2 - Medium,3 - Moderate,False,2/5/2016 16:18,7/5/2016 17:07,Emerald,Croc,Spain
INC0004485,Awaiting User Info,True,8/3/2016 17:59,2 - Medium,2 - Medium,3 - Moderate,True,22/3/2016 15:17,27/3/2016 15:59,Emerald,Croc,South Africa
INC0010172,Active,True,22/3/2016 16:35,2 - Medium,2 - Medium,3 - Moderate,False,29/3/2016 17:00,3/4/2016 17:59,Emerald,Croc,Bolivia
INC0005095,Closed,False,9/3/2016 18:14,2 - Medium,2 - Medium,3 - Moderate,True,11/3/2016 15:29,24/3/2016 18:51,Sapphire,BlueJay,Japan
INC0028403,Awaiting User Info,True,11/5/2016 12:22,2 - Medium,2 - Medium,3 - Moderate,False,19/5/2016 15:21,24/5/2016 16:07,Ruby,Ant,Ecuador
INC0025861,Resolved,True,4/5/2016 13:18,2 - Medium,2 - Medium,3 - Moderate,False,4/5/2016 14:51,9/5/2016 15:07,Emerald,Frog,Kenya
INC0008069,Active,True,17/3/2016 08:17,2 - Medium,2 - Medium,3 - Moderate,False,18/3/2016 06:52,24/3/2016 19:01,Sapphire,BlueJay,Pakistan
INC0025101,Resolved,True,2/5/2016 17:16,2 - Medium,2 - Medium,3 - Moderate,False,2/5/2016 17:22,7/5/2016 18:07,Sapphire,Glaucus,Peru
INC0009225,New,True,21/3/2016 08:59,2 - Medium,2 - Medium,3 - Moderate,False,23/3/2016 13:50,28/3/2016 13:59,Emerald,Frog,South Korea
INC0009067,Closed,True,19/3/2016 18:43,2 - Medium,2 - Medium,3 - Moderate,False,?,24/3/2016 19:59,Ruby,Fox,Hungary
INC0019921,Awaiting User Info,True,15/4/2016 16:06,2 - Medium,2 - Medium,3 - Moderate,False,25/4/2016 12:48,30/4/2016 13:07,Sapphire,Glaucus,United Kingdom
INC0008842,New,True,18/3/2016 14:34,2 - Medium,2 - Medium,3 - Moderate,False,18/3/2016 16:27,24/3/2016 19:02,Ruby,Shrimp,Austria
INC0000612,Active,True,1/3/2016 10:49,2 - Medium,2 - Medium,3 - Moderate,True,2/3/2016 10:58,7/3/2016 11:00,Emerald,Turtle,Australia
INC0024975,Active,True,2/5/2016 14:30,2 - Medium,2 - Medium,3 - Moderate,False,4/5/2016 12:01,9/5/2016 12:07,Emerald,Boa,Singapore
INC0004412,New,True,8/3/2016 15:46,2 - Medium,2 - Medium,3 - Moderate,True,21/3/2016 14:04,26/3/2016 14:59,Ruby,Ant,Romania
INC0020225,New,True,18/4/2016 09:29,2 - Medium,2 - Medium,3 - Moderate,False,18/4/2016 14:52,23/4/2016 15:07,Ruby,Fox,India
INC0003015,New,True,7/3/2016 00:36,2 - Medium,2 - Medium,3 - Moderate,True,18/3/2016 19:37,24/3/2016 18:59,Ruby,Shrimp,Romania
INC0012584,Awaiting User Info,True,29/3/2016 14:03,2 - Medium,2 - Medium,3 - Moderate,False,30/3/2016 12:02,4/4/2016 12:59,Ruby,Fox,Belgium
INC0007981,Resolved,True,16/3/2016 17:19,2 - Medium,2 - Medium,3 - Moderate,False,28/3/2016 17:21,2/4/2016 17:59,Ruby,Ant,Greece
INC0008940,New,True,18/3/2016 16:58,2 - Medium,2 - Medium,3 - Moderate,False,28/4/2016 10:21,3/5/2016 11:07,Ruby,Shrimp,New Zealand
INC0023453,Closed,True,28/4/2016 07:31,2 - Medium,2 - Medium,3 - Moderate,False,28/4/2016 07:32,3/5/2016 08:07,Ruby,LadyBug,Switzerland
INC0008798,Awaiting User Info,True,18/3/2016 13:25,2 - Medium,2 - Medium,3 - Moderate,False,22/3/2016 11:46,27/3/2016 11:59,Emerald,Boa,Bolivia
INC0014291,New,True,1/4/2016 17:08,2 - Medium,2 - Medium,3 - Moderate,False,1/4/2016 18:06,6/4/2016 18:59,Emerald,Croc,Mexico
INC0017525,Awaiting User Info,True,11/4/2016 10:40,2 - Medium,2 - Medium,3 - Moderate,False,4/5/2016 16:03,9/5/2016 16:07,Emerald,Frog,Japan
INC0027290,Closed,True,9/5/2016 08:47,2 - Medium,2 - Medium,3 - Moderate,False,9/5/2016 08:56,14/5/2016 09:07,Ruby,Fox,Croatia
INC0005938,Resolved,True,11/3/2016 11:39,2 - Medium,2 - Medium,3 - Moderate,False,28/3/2016 11:05,2/4/2016 11:59,Sapphire,Peacock,Nigeria
INC0008208,Resolved,True,17/3/2016 10:24,2 - Medium,2 - Medium,3 - Moderate,False,17/3/2016 15:26,24/3/2016 19:02,Sapphire,Peacock,Greece
INC0000303,Resolved,True,29/2/2016 14:23,3 - Low,3 - Low,4 - Low,True,10/3/2016 17:47,24/3/2016 18:50,Ruby,Shrimp,United Arab Emirates
INC0002325,Awaiting User Info,True,4/3/2016 09:46,1 - High,1 - High,1 - Critical,True,9/3/2016 09:22,14/3/2016 10:00,Emerald,Frog,Kenya
INC0018342,Active,True,12/4/2016 17:15,2 - Medium,2 - Medium,3 - Moderate,False,13/4/2016 16:10,18/4/2016 16:14,Ruby,Fox,Thailand
INC0023183,New,True,27/4/2016 12:00,2 - Medium,2 - Medium,3 - Moderate,False,28/4/2016 13:59,3/5/2016 14:07,Sapphire,Glaucus,Israel
INC0026319,Active,True,5/5/2016 11:04,2 - Medium,2 - Medium,3 - Moderate,False,12/5/2016 10:09,17/5/2016 10:10,Sapphire,BlueTang,Indonesia
INC0003056,Active,True,7/3/2016 08:18,2 - Medium,2 - Medium,3 - Moderate,True,7/3/2016 11:53,24/3/2016 18:40,Emerald,Turtle,Nigeria
